"macrocode","UF","macrorregiao","NV2009","NV2010","NV2011","NV2012","NV2013","NV2014","NV2015","NV2016","NV2017","NV2018","NV2019"
1101,"RO","MACRORREGIONAL II (CACOAL)",11263,10892,11854,11315,11427,11758,12132,11668,12017,12354,11886
1102,"RO","MACRORREGIAO I - PORTO VELHO",14818,14966,15773,15206,15733,15839,15757,15038,15506,15739,15051
1201,"AC","MACRO UNICA - AC",17395,16983,18371,17386,17719,17846,17676,16333,17033,17264,17048
1302,"AM","OESTE",10957,10473,10952,11531,11815,12286,12062,11858,12698,12356,12549
1303,"AM","LESTE",10932,10760,10584,10267,10851,10860,10892,10592,11358,11260,11305
1304,"AM","CENTRAL",53443,52544,54240,54928,55874,57438,56577,53758,53462,53918,53244
1401,"RR","MACRO-RORAIMA",9676,9724,9932,10741,10797,11100,11409,11362,11710,13315,14586
1509,"PA","MACRORREGIONAL IV",31264,29876,30408,29586,30041,30732,31442,29530,29387,30532,29343
1510,"PA","MACRORREGIONAL III",23889,24037,24386,24102,23856,25660,25800,25471,26213,26556,26457
1511,"PA","MACRORREGIONAL II",27962,27341,27408,25168,25074,25073,24099,22816,22124,22687,22466
1512,"PA","MACRORREGIONAL I",58671,57954,58364,57379,58663,60056,60215,57884,58868,59667,57798
1601,"AP","MACRO UNICA - AP",15218,15946,16111,15924,16840,17566,17100,16850,16795,17440,16902
1701,"TO","MACRORREGIAO NORTE",11381,11137,10894,10473,10306,10549,10522,9927,10064,10341,10000
1702,"TO","MACRORREGIAO CENTRO-SUL",13385,13232,13752,13424,13382,13909,14087,13443,14271,14601,14034
2109,"MA","MACRORREGIAO SUL",24448,24112,24223,23105,23490,24424,25203,23613,24505,25094,24049
2110,"MA","MACRORREGIAO NORTE",69253,66895,68271,66110,64864,65496,65696,61353,62236,65105,63557
2111,"MA","MACRORREGIAO LESTE",27453,26172,26040,24721,24529,25315,24994,23571,24432,24959,23730
2207,"PI","SEMI-ARIDO",8323,7850,7634,7046,6569,6785,6999,6568,6493,6794,6530
2208,"PI","MEIO NORTE",24865,24873,25490,25234,24602,25724,26009,24608,25049,25019,24465
2209,"PI","LITORAL",10634,9961,10214,9513,9285,9288,9673,9633,10227,10625,10050
2210,"PI","CERRADOS",9738,9287,9552,8657,8557,8660,9035,8884,9378,9810,9419
2306,"CE","5ª MACRO - LITORAL LESTE/JAGUARIBE",6880,6772,6642,6356,5912,6152,6653,5842,5995,6010,5783
2307,"CE","4ª MACRO - SERTAO CENTRAL",9091,8669,8153,7856,7302,7746,8005,7680,7812,8323,7989
2308,"CE","3ª MACRO - CARIRI",22478,22152,21484,20893,20858,21042,21613,20430,20804,21791,21384
2309,"CE","2ª MACRO - SOBRAL",24312,24250,23525,23281,22713,23058,22555,22189,23184,25066,24767
2310,"CE","1ª MACRO - FORTALEZA",68619,67053,68869,68470,68241,70829,73895,70236,70058,70350,69235
2401,"RN","MACRORREGIAO II",12779,12510,12601,12170,11985,12306,12442,11653,11931,12465,11723
2402,"RN","MACRORREGIAO I",36666,35707,36123,35358,35282,36329,37085,34256,34778,36176,32900
2501,"PB","MACRORREGIAO III - SERTAO/ALTO SERTAO",11661,11446,11439,11356,11321,11675,12089,10853,11085,11902,10962
2502,"PB","MACRORREGIAO II - CAMPINA GRANDE",18556,18282,18071,17485,17441,18221,18287,16908,17440,18375,17772
2503,"PB","MACRORREGIAO I - JOAO PESSOA",28523,27882,28350,27549,27909,27252,28452,27963,28766,29815,28679
2605,"PE","VALE DO S.FRANCISCO E ARARIPE",18423,17838,19241,19217,18470,18534,18777,17696,17563,18328,18286
2606,"PE","SERTAO",13727,13154,13727,12628,11508,11507,11675,10424,11591,12590,12136
2607,"PE","METROPOLITANA",85809,83387,85702,87864,88465,91033,92000,82581,85362,86163,82889
2608,"PE","AGRESTE",25438,23863,23944,23722,24772,23950,23757,21072,22287,21975,21108
2703,"AL","2ª MACRORREGIAO DE SAUDE",18539,18050,18135,17486,17177,17745,17836,15885,17119,18323,17011
2704,"AL","1ª MACRORREGIAO DE SAUDE",35512,34762,35019,34047,34314,33143,33938,31495,32625,33681,32627
2801,"SE","MACRO UNICA",36255,35262,36385,35815,35945,36040,36207,33159,35061,35455,33724
2910,"BA","SUL (NBS - ILHEUS)",26357,25104,25415,24586,23485,22815,23317,22304,22768,22532,21229
2911,"BA","SUDOESTE (NBS - VITORIA CONQUISTA)",24654,24141,23970,23474,22780,23021,23489,22751,23296,23292,22660
2912,"BA","OESTE (NBS - BARREIRAS)",13852,13968,14586,14181,14382,14560,14336,13962,14531,14867,14969
2913,"BA","NORTE - (NRS - JUAZEIRO)",18741,17245,15613,15133,14736,15146,15856,15358,16044,16335,15773
2914,"BA","NORDESTE (NRS - ALAGOINHAS)",9937,9537,9921,9420,9238,8944,8910,9537,9477,9479,8342
2915,"BA","LESTE - (NRS - SALVADOR)",65277,64491,65292,64674,63360,63573,64181,61880,62180,61781,59650
2916,"BA","EXTREMO SUL (NRS - TEIXEIRA FREITAS)",13597,13222,13380,13315,12513,12886,13079,12561,12951,13398,12912
2917,"BA","CENTRO-LESTE (NRS - FEIRA SANTANA)",32170,31545,31993,30972,29342,29523,29704,28843,29484,29859,28495
2918,"BA","CENTRO - NORTE (NRS - JACOBINA)",12750,11942,12176,11317,10556,10870,11335,11018,11556,11853,11020
3101,"MG","SUL",30852,31577,31856,32261,31990,32441,32708,31703,33195,33186,32562
3102,"MG","CENTRO SUL",8507,8595,8677,8181,8131,8326,8446,7893,7998,8080,8136
3103,"MG","CENTRO",81067,83417,85123,87312,87555,90097,91194,85031,86019,85909,82732
3104,"MG","JEQUITINHONHA",4982,5211,5077,4726,4825,4956,4553,4637,4895,4549,4493
3105,"MG","OESTE",13820,13702,13701,13785,13743,14031,14029,13452,13838,14225,14295
3106,"MG","LESTE",8087,8782,9065,8747,8341,8924,9085,8682,8926,8992,8664
3107,"MG","SUDESTE",18454,18307,19054,19595,18710,19456,19412,18113,19054,19274,18955
3108,"MG","NORTE",23566,23323,23387,22325,22312,23520,22907,21256,22117,23170,21959
3109,"MG","NOROESTE",7921,7774,7927,8212,8083,8470,8811,8242,9048,9083,9044
3110,"MG","LESTE DO SUL",8726,8212,8614,8735,8378,8669,8555,8266,8498,9027,9008
3111,"MG","NORDESTE",11087,10707,11268,10301,10235,10356,10327,9807,9972,10221,9921
3112,"MG","TRIANGULO DO SUL",8619,8684,8873,9159,9104,9563,9866,9338,9503,9572,9387
3113,"MG","TRIANGULO DO NORTE",15569,15756,15662,16062,16280,16862,17156,16665,17246,17273,16925
3114,"MG","VALE DO ACO",10569,10391,10857,10629,10335,10754,10824,9876,10115,10506,10375
3205,"ES","SUL",7938,7796,8077,8387,8386,8933,8702,8117,8653,8685,8473
3206,"ES","NORTE",5834,5719,5736,5541,5594,5700,5622,5219,5378,5225,4866
3207,"ES","METROPOLITANA",29271,29687,30567,30540,31319,32700,33118,30926,32414,32719,31665
3208,"ES","CENTRAL",8241,8413,8495,8185,8468,8861,8957,8729,9068,9708,9487
3310,"RJ","MACRORREGIAO III",24980,26052,25517,26655,27777,29499,30628,28387,29053,29595,28660
3311,"RJ","MACRORREGIAO II",171714,169142,175369,176503,176995,183784,185860,171745,174508,171099,160594
3312,"RJ","MACRORREGIAO I",20105,20243,19882,19758,19419,20396,20581,19042,19742,19798,18709
3518,"SP","RRAS9",21225,21411,22092,22050,21821,22531,22677,21578,21581,21766,21008
3519,"SP","RRAS8",31134,31763,32295,33440,33468,34191,34952,33016,33711,33532,32402
3520,"SP","RRAS7",28230,28129,29076,29585,28604,29050,29090,27557,27753,27689,25935
3521,"SP","RRAS6",191389,191575,194191,195111,192700,198125,198472,189074,189740,185016,177629
3522,"SP","RRAS5",24767,25609,25820,25745,25843,26220,26650,25440,25978,25912,24565
3523,"SP","RRAS4",13265,13814,13981,13982,13829,14192,14401,13833,14701,14286,13512
3524,"SP","RRAS3",6175,6374,6744,6545,6865,7299,7634,7345,7553,7375,7307
3525,"SP","RRAS2",38232,38363,39164,40116,39475,38612,41692,38961,40003,40279,39556
3526,"SP","RRAS17",32082,32687,33268,33127,33039,34049,34070,32774,33424,33358,31934
3527,"SP","RRAS16",16956,17263,17522,17972,17778,18285,19103,18296,18770,18941,18308
3528,"SP","RRAS15",49037,49873,50104,51256,51550,52601,54139,51048,52287,52198,50516
3529,"SP","RRAS14",18388,18223,18477,19032,18783,19516,19559,18694,18951,19396,18564
3530,"SP","RRAS13",44215,43903,44062,44698,44386,45913,46608,43370,44964,44891,43129
3531,"SP","RRAS12",26807,26631,27529,28033,27875,29311,29408,27366,28520,28816,28145
3532,"SP","RRAS11",9128,9113,9284,9327,9336,9748,9854,9548,9678,9460,9011
3533,"SP","RRAS10",13554,13510,13423,13584,13317,13636,13709,13211,13766,13581,13078
3534,"SP","RRAS1",34962,34179,34393,34213,33660,34110,33609,31859,31919,31205,30022
4105,"PR","MACRORREGIONAL NORTE",24375,24926,25035,24944,25426,25809,25916,24897,25273,25096,24257
4106,"PR","MACRORREGIONAL NOROESTE",22158,22926,23514,23500,24187,24848,25287,24539,25468,25387,25353
4107,"PR","MACRORREGIONAL LESTE",76551,77529,77596,78426,78470,79922,80210,76604,76950,76150,73925
4108,"PR","MACRORREGIAO OESTE",26095,26628,26727,27071,27418,28801,28990,28596,29745,29593,30029
4210,"SC","SUL",11293,11418,11855,12051,12141,12597,12919,12902,13355,13346,13368
4211,"SC","PLANALTO NORTE E NORDESTE",17922,17377,18697,18674,18647,19266,20284,19291,19404,19448,18750
4212,"SC","MEIO OESTE E SERRA CATARINENSE",12044,12230,12381,12078,12444,12712,13026,12943,13054,13086,12895
4213,"SC","GRANDE OESTE",9479,9787,9703,9947,10251,10667,11217,10913,11421,11709,11668
4214,"SC","GRANDE FLORIANOPOLIS",13363,13659,14113,14380,14752,15423,16186,15925,16548,16521,15996
4215,"SC","FOZ DO RIO ITAJAI",7230,7486,7629,8243,8558,8939,9623,9625,10161,10559,10485
4216,"SC","ALTO VALE DO ITAJAI",12006,12466,12880,13088,12969,13681,14159,13867,14336,14726,14613
4308,"RS","VALES",9167,9119,9527,9710,9834,10159,10666,10328,10271,10523,10251
4309,"RS","SUL",12519,12298,12743,12483,12716,13214,13372,12821,12880,12599,11957
4310,"RS","SERRA",13172,13373,13858,14171,14333,15060,15625,14599,14521,14738,14491
4311,"RS","NORTE",13669,13896,14565,14384,14495,15070,15731,14758,15447,15474,15099
4312,"RS","MISSIONEIRA",10160,10439,10324,10330,10726,10588,10850,10674,10890,10744,10621
4313,"RS","METROPOLITANA",62372,61712,64124,65551,66901,67036,69248,65804,65267,63570,60112
4314,"RS","CENTRO-OESTE",12769,12587,12729,12500,12486,12313,12923,12462,12332,12404,12044
5005,"MS","TRES LAGOAS",3509,3477,3609,3747,3740,3934,3906,3726,4049,3986,3947
5006,"MS","DOURADOS",12921,12515,13704,13595,13421,13806,13807,13559,14141,13835,13859
5007,"MS","CORUMBA",2308,2342,2387,2185,2331,2407,2308,2197,2227,2187,2100
5008,"MS","CAMPO GRANDE",21241,21471,22105,22349,22387,23441,23644,22527,23848,23759,23335
5101,"MT","MACRORREGIAO SUL",7129,7287,7592,7724,7799,8571,8604,8164,8561,8799,8734
5102,"MT","MACRORREGIAO OESTE",4777,4368,4620,4624,4555,4736,4806,4442,4872,4896,4937
5103,"MT","MACRORREGIAO NORTE",9771,10379,10675,10844,11761,12804,12730,12530,13417,14100,14287
5104,"MT","MACRORREGIAO LESTE",4243,4113,4522,4680,4782,5012,5347,5103,5376,5695,5837
5105,"MT","MACRORREGIAO CENTRO-NORTE",22502,22675,23759,23254,24042,25263,25130,23107,24976,25058,25053
5206,"GO","MACRORREGIAO SUDOESTE",7993,8541,8476,8876,9213,9787,9572,9288,9351,9635,9362
5207,"GO","MACRORREGIAO NORDESTE",8104,6992,6572,6603,6603,6546,7172,6598,6840,6757,6221
5208,"GO","MACRORREGIAO CENTRO-OESTE",35872,35576,36694,38037,39240,41607,41849,39878,39868,42183,40649
5209,"GO","MACRORREGIAO CENTRO-NORTE",13536,13363,13035,13885,13730,14508,15038,14304,14767,14776,14484
5210,"GO","MACRORREGIAO CENTRO SUDESTE",12044,12567,13126,13651,13476,13868,14041,13536,14640,13262,12933
5302,"DF","DISTRITO FEDERAL",54260,55185,55861,56339,57594,58906,59659,55900,57163,57108,55468
