"macrocode","macrorregiao","RMM20092013","RMM20142018"
1101,"MACRORREGIONAL II (CACOAL)",24.6691688252189,26.6982596072019
1102,"MACRORREGIAO I - PORTO VELHO",92.815310604476,84.7468508840637
1201,"MACRO UNICA - AC",43.2535798028547,52.2332621413316
1302,"OESTE",96.8992248062015,66.9278485145282
1303,"LESTE",29.9659137730831,69.1386776318183
1304,"CENTRAL",79.3273044581945,81.045818144814
1401,"MACRO-RORAIMA",57.008059760173,66.2184189079055
1509,"MACRORREGIONAL IV",53.5802877459897,61.3363407926238
1510,"MACRORREGIONAL III",60.6967656107092,76.3299922898998
1511,"MACRORREGIONAL II",43.6244387114243,48.8017876865384
1512,"MACRORREGIONAL I",81.0910177953551,97.745121170245
1601,"MACRO UNICA - AP",43.7286822673946,71.1361966624296
1701,"MACRORREGIAO NORTE",92.2662434721633,42.7990584207147
1702,"MACRORREGIAO CENTRO-SUL",68.4778563453666,83.9129012530045
2109,"MACRORREGIAO SUL",81.2545025046491,96.0606973355368
2110,"MACRORREGIAO NORTE",85.5712552140325,82.8420124669414
2111,"MACRORREGIAO LESTE",73.6919675755343,94.1016135181835
2207,"SEMI-ARIDO",88.1834215167548,56.4820595142543
2208,"MEIO NORTE",147.924262777458,93.3477837812181
2209,"LITORAL",56.4436470659383,64.7170650810986
2210,"CERRADOS",67.6988927955275,78.6592959993008
2306,"5ª MACRO - LITORAL LESTE/JAGUARIBE",39.9238376021129,13.0497194310322
2307,"4ª MACRO - SERTAO CENTRAL",41.3917362615958,50.5484506899864
2308,"3ª MACRO - CARIRI",72.3126129884578,62.4526873580621
2309,"2ª MACRO - SOBRAL",82.9938770843743,73.2430289870058
2310,"1ª MACRO - FORTALEZA",71.7944510215325,63.0332500393958
2401,"MACRORREGIAO II",56.4106696752357,60.8582660328635
2402,"MACRORREGIAO I",50.7993926402287,67.7400573271229
2501,"MACRORREGIAO III - SERTAO/ALTO SERTAO",47.1838246858781,55.551697798764
2502,"MACRORREGIAO II - CAMPINA GRANDE",71.2417209328213,79.5687597359662
2503,"MACRORREGIAO I - JOAO PESSOA",47.7844422414469,56.9428041167538
2605,"VALE DO S.FRANCISCO E ARARIPE",90.1393941345009,102.312482122819
2606,"SERTAO",29.3463486964043,31.1488743142921
2607,"METROPOLITANA",63.7715170896071,68.6280565220674
2608,"AGRESTE",41.0714725765778,45.1163737051158
2703,"2ª MACRORREGIAO DE SAUDE",50.3428910244219,57.5321029134257
2704,"1ª MACRORREGIAO DE SAUDE",49.5237656489341,61.8624228235951
2801,"MACRO UNICA",85.1599113891641,55.7065062925615
2910,"SUL (NBS - ILHEUS)",64.0271475105445,59.7875782513892
2911,"SUDOESTE (NBS - VITORIA CONQUISTA)",69.7367647182383,52.6547488541118
2912,"OESTE (NBS - BARREIRAS)",57.7717031379898,58.126660761736
2913,"NORTE - (NRS - JUAZEIRO)",52.781460205234,30.4804480625865
2914,"NORDESTE (NRS - ALAGOINHAS)",56.1879591284623,66.8867456361793
2915,"LESTE - (NRS - SALVADOR)",91.6142051539181,80.3584240820166
2916,"EXTREMO SUL (NRS - TEIXEIRA FREITAS)",109.04629924122,69.364161849711
2917,"CENTRO-LESTE (NRS - FEIRA SANTANA)",53.1976259758239,48.1640018180215
2918,"CENTRO - NORTE (NRS - JACOBINA)",76.6074802948537,58.2709422234779
3101,"SUL",37.2155220265429,39.2077582351608
3102,"CENTRO SUL",33.2612672542824,39.2705495422527
3103,"CENTRO",43.1121811936656,47.9178551055334
3104,"JEQUITINHONHA",56.4038515772934,50.8690122933446
3105,"OESTE",24.7269130630827,34.495149119655
3106,"LESTE",53.4610199432848,62.7676029500773
3107,"SUDESTE",44.6238844028899,52.4609428280645
3108,"NORTE",52.2134136259605,65.5041161370275
3109,"NOROESTE",22.5467845779994,48.1055573372429
3110,"LESTE DO SUL",37.5014649009727,37.1963268627223
3111,"NORDESTE",69.0324265830815,65.110589349486
3112,"TRIANGULO DO SUL",51.7563401516686,58.5259813552945
3113,"TRIANGULO DO NORTE",23.9508880737183,28.1683528555668
3114,"VALE DO ACO",30.3139387279513,49.9279884781565
3205,"SUL",56.6725803272226,69.6217219772569
3206,"NORTE",45.7359977483816,69.9970527556735
3207,"METROPOLITANA",68.0388944670507,60.5397925585475
3208,"CENTRAL",78.9435912157313,55.1596319749355
3310,"MACRORREGIAO III",89.3259327688749,61.8366154306139
3311,"MACRORREGIAO II",82.2100829804432,72.0409111202305
3312,"MACRORREGIAO I",77.4593338497289,59.2613425205155
3518,"RRAS9",23.9412885938176,51.755604587181
3519,"RRAS8",44.4170265268353,50.1765032290056
3520,"RRAS7",66.8411964574166,82.8970022460128
3521,"RRAS6",51.4007747423225,47.0624003698355
3522,"RRAS5",28.1725411632129,32.258064516129
3523,"RRAS4",24.683829187902,50.4109895957319
3524,"RRAS3",39.7517047365685,61.8179863462882
3525,"RRAS2",53.7496800614282,69.657774860058
3526,"RRAS17",28.0141044926098,34.5907261070523
3527,"RRAS16",28.5743676492439,40.6874029658975
3528,"RRAS15",37.3282503375427,35.0779531251787
3529,"RRAS14",76.4237968633952,59.3033417953306
3530,"RRAS13",34.3481090462072,50.0562579181912
3531,"RRAS12",35.0684931506849,39.7431338506913
3532,"RRAS11",23.8157097081493,57.9854208084824
3533,"RRAS10",40.0664806790526,63.3256262609899
3534,"RRAS1",39.6716586837177,60.8474388759819
4105,"MACRORREGIONAL NORTE",54.5282504450468,54.3345591419864
4106,"MACRORREGIONAL NOROESTE",62.7767983832825,53.3741207211083
4107,"MACRORREGIONAL LESTE",49.4116920416294,34.8864650776224
4108,"MACRORREGIAO OESTE",53.0092056831841,41.1734431291817
4210,"SUL",27.2303345927363,19.963451527204
4211,"PLANALTO NORTE E NORDESTE",24.0918996462871,22.5195254521818
4212,"MEIO OESTE E SERRA CATARINENSE",31.057423541527,43.1958778790824
4213,"GRANDE OESTE",18.3049606443346,37.5489477354408
4214,"GRANDE FLORIANOPOLIS",25.6165767714574,26.0536208329715
4215,"FOZ DO RIO ITAJAI",43.4271700812344,55.2068211094526
4216,"ALTO VALE DO ITAJAI",33.118327051365,29.6740098065537
4308,"VALES",50.6788859091581,30.8006237126302
4309,"SUL",66.9226724453863,55.4819221403693
4310,"SERRA",40.6344783548841,26.830151724508
4311,"NORTE",61.9639763973581,43.1485355648536
4312,"MISSIONEIRA",57.7156159218146,39.072675175827
4313,"METROPOLITANA",51.7682280296888,37.1685427211604
4314,"CENTRO-OESTE",38.0523536966276,41.6439760386969
5005,"TRES LAGOAS",82.9554252848136,76.5267078210295
5006,"DOURADOS",64.9978837898301,75.2010181060913
5007,"CORUMBA",129.836406128278,114.78015186297
5008,"CAMPO GRANDE",66.6344143930335,46.0676170245438
5101,"MACRORREGIAO SUL",71.940529162559,53.8654301037495
5102,"MACRORREGIAO OESTE",56.6596931659693,92.6237790501852
5103,"MACRORREGIAO NORTE",50.5334081976418,57.9436117168082
5104,"MACRORREGIAO LESTE",44.762757385855,37.6889156898956
5105,"MACRORREGIAO CENTRO-NORTE",82.5934338220111,76.0924118056567
5206,"MACRORREGIAO SUDOESTE",20.8821550384,35.6895429639116
5207,"MACRORREGIAO NORDESTE",17.2047944027069,41.2821042078259
5208,"MACRORREGIAO CENTRO-OESTE",65.7969248027441,61.8350901964603
5209,"MACRORREGIAO CENTRO-NORTE",38.4905772106175,61.3137492676413
5210,"MACRORREGIAO CENTRO SUDESTE",10.7918105574741,44.7027268663388
5302,"DISTRITO FEDERAL",60.1635158412686,52.6432450404522
